Ultralytics YOLOv8.2.5 🚀 Python-3.10.12 torch-2.3.0+cu121 CUDA:0 (NVIDIA GeForce RTX 4090, 24217MiB)
Model summary (fused): 268 layers, 68200608 parameters, 0 gradients, 257.8 GFLOPs

WARNING ⚠️ imgsz=[720, 2560] must be multiple of max stride 32, updating to [736, 2560]
video 1/1 (frame 1/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 31.5ms
video 1/1 (frame 2/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 9 persons, 31.5ms
video 1/1 (frame 3/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 31.6ms
video 1/1 (frame 4/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 7 persons, 31.5ms
video 1/1 (frame 5/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 8 persons, 31.7ms
video 1/1 (frame 6/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 8 persons, 30.9ms
video 1/1 (frame 7/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 9 persons, 30.6ms
video 1/1 (frame 8/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 9 persons, 30.4ms
video 1/1 (frame 9/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 8 persons, 30.3ms
video 1/1 (frame 10/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 9 persons, 30.3ms
video 1/1 (frame 11/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 8 persons, 30.3ms
video 1/1 (frame 12/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 6 persons, 30.3ms
video 1/1 (frame 13/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 7 persons, 30.3ms
video 1/1 (frame 14/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 6 persons, 30.3ms
video 1/1 (frame 15/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 6 persons, 30.3ms
video 1/1 (frame 16/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 7 persons, 30.4ms
video 1/1 (frame 17/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 6 persons, 30.4ms
video 1/1 (frame 18/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 7 persons, 30.4ms
video 1/1 (frame 19/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 6 persons, 30.4ms
video 1/1 (frame 20/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.4ms
video 1/1 (frame 21/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.4ms
video 1/1 (frame 22/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.4ms
video 1/1 (frame 23/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 6 persons, 30.7ms
video 1/1 (frame 24/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.4ms
video 1/1 (frame 25/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 7 persons, 30.4ms
video 1/1 (frame 26/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.4ms
video 1/1 (frame 27/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 7 persons, 30.4ms
video 1/1 (frame 28/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.4ms
video 1/1 (frame 29/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 7 persons, 30.4ms
video 1/1 (frame 30/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 6 persons, 30.4ms
video 1/1 (frame 31/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 7 persons, 30.4ms
video 1/1 (frame 32/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 6 persons, 30.4ms
video 1/1 (frame 33/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 7 persons, 30.4ms
video 1/1 (frame 34/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 8 persons, 30.4ms
video 1/1 (frame 35/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 8 persons, 30.4ms
video 1/1 (frame 36/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 6 persons, 30.4ms
video 1/1 (frame 37/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 6 persons, 30.4ms
video 1/1 (frame 38/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 7 persons, 30.4ms
video 1/1 (frame 39/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 7 persons, 30.4ms
video 1/1 (frame 40/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 6 persons, 30.4ms
video 1/1 (frame 41/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.4ms
video 1/1 (frame 42/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 30.4ms
video 1/1 (frame 43/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 30.4ms
video 1/1 (frame 44/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 34.7ms
video 1/1 (frame 45/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 30.6ms
video 1/1 (frame 46/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 30.6ms
video 1/1 (frame 47/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.4ms
video 1/1 (frame 48/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 30.4ms
video 1/1 (frame 49/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 30.4ms
video 1/1 (frame 50/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.4ms
video 1/1 (frame 51/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 30.4ms
video 1/1 (frame 52/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 30.5ms
video 1/1 (frame 53/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 30.4ms
video 1/1 (frame 54/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.4ms
video 1/1 (frame 55/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.4ms
video 1/1 (frame 56/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 30.4ms
video 1/1 (frame 57/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 3 persons, 30.6ms
video 1/1 (frame 58/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 3 persons, 30.4ms
video 1/1 (frame 59/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 3 persons, 30.4ms
video 1/1 (frame 60/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 3 persons, 30.4ms
video 1/1 (frame 61/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 2 persons, 30.4ms
video 1/1 (frame 62/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 2 persons, 30.4ms
video 1/1 (frame 63/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 2 persons, 30.5ms
video 1/1 (frame 64/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 3 persons, 30.5ms
video 1/1 (frame 65/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 30.4ms
video 1/1 (frame 66/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 30.4ms
video 1/1 (frame 67/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 6 persons, 30.4ms
video 1/1 (frame 68/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.4ms
video 1/1 (frame 69/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 30.5ms
video 1/1 (frame 70/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.5ms
video 1/1 (frame 71/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 30.5ms
video 1/1 (frame 72/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 30.5ms
video 1/1 (frame 73/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.4ms
video 1/1 (frame 74/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.6ms
