                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.55028,                   -inf,                0.87808,                0.87657,                0.57974,                 0.6906,                0.58023,                0.41824,                0.41379,                0.82535,             3.9602e-05,             3.9602e-05,             3.9602e-05
                      2,                 0.4838,                0.44582,                0.84248,                0.69025,                0.80869,                0.69808,                0.60353,                0.40385,                0.39218,                0.80019,             7.8484e-05,             7.8484e-05,             7.8484e-05
                      3,                0.47902,                 0.4467,                0.84269,                0.64077,                0.66651,                0.65162,                0.55155,                0.41653,                0.39362,                0.81152,             0.00011658,             0.00011658,             0.00011658
                      4,                0.46511,                0.42592,                0.83336,                0.80027,                0.65394,                0.69249,                0.58911,                0.40853,                0.38967,                0.80911,             0.00011547,             0.00011547,             0.00011547
                      5,                 0.4535,                 0.4044,                0.83394,                0.76928,                0.62723,                 0.6826,                0.58427,                 0.4008,                 0.3808,                0.81223,             0.00011429,             0.00011429,             0.00011429
                      6,                0.44564,                0.39723,                0.83088,                 0.7491,                0.67056,                0.67234,                0.57523,                0.39365,                0.38856,                0.80577,             0.00011311,             0.00011311,             0.00011311
                      7,                0.43877,                0.38871,                0.82953,                0.74502,                0.68256,                 0.6925,                0.60212,                0.38733,                0.37462,                0.80438,             0.00011193,             0.00011193,             0.00011193
                      8,                0.43388,                0.38426,                 0.8256,                0.78294,                0.74742,                0.73167,                0.62414,                0.39311,                 0.3627,                0.80623,             0.00011075,             0.00011075,             0.00011075
                      9,                0.42848,                0.37157,                0.82412,                0.77365,                0.65767,                0.72107,                0.63174,                0.39278,                0.36249,                 0.8074,             0.00010958,             0.00010958,             0.00010958
                     10,                0.42003,                0.36703,                0.82047,                0.69952,                0.78994,                0.73287,                0.64555,                0.38414,                0.35962,                0.80966,              0.0001084,              0.0001084,              0.0001084
                     11,                0.41308,                0.35623,                0.82079,                0.70411,                 0.6915,                 0.7245,                0.61741,                0.38892,                0.34619,                0.80397,             0.00010722,             0.00010722,             0.00010722
