                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.54987,                0.61896,                 0.8775,                0.87754,                 0.5757,                0.67593,                0.56556,                0.41519,                0.40226,                0.82298,             3.9602e-05,             3.9602e-05,             3.9602e-05
                      2,                0.48508,                0.44492,                0.84106,                0.79307,                0.64716,                0.72122,                0.61722,                0.41912,                0.38841,                0.82561,             7.5345e-05,             7.5345e-05,             7.5345e-05
                      3,                0.47359,                0.43416,                0.84154,                0.80923,                0.69349,                0.70952,                0.59323,                0.42161,                0.39958,                0.80626,             0.00010716,             0.00010716,             0.00010716
                      4,                0.46326,                0.42018,                0.83255,                0.74623,                0.79553,                0.71351,                0.61068,                0.39922,                0.38691,                 0.8099,             0.00010133,             0.00010133,             0.00010133
                      5,                0.44657,                0.39992,                0.83027,                0.76823,                0.66092,                0.68213,                0.58814,                 0.3941,                0.37516,                0.80602,             9.5438e-05,             9.5438e-05,             9.5438e-05
                      6,                0.44076,                0.38717,                 0.8258,                0.75699,                 0.6636,                0.67882,                0.58746,                0.37968,                0.37651,                0.79374,             8.9547e-05,             8.9547e-05,             8.9547e-05
                      7,                0.42502,                0.37625,                0.82496,                0.74056,                  0.718,                0.70504,                0.61468,                0.37382,                 0.3682,                 0.7962,             8.3657e-05,             8.3657e-05,             8.3657e-05
                      8,                0.42122,                0.37102,                0.82057,                0.81786,                0.70396,                0.72495,                0.63152,                0.38407,                  0.353,                0.79443,             7.7766e-05,             7.7766e-05,             7.7766e-05
                      9,                0.41353,                0.35781,                0.81902,                0.69451,                0.71059,                0.72559,                0.63198,                0.36872,                 0.3463,                0.79774,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     10,                0.40429,                0.34888,                0.81365,                0.71513,                0.74637,                0.72389,                0.62919,                0.37006,                 0.3505,                0.80193,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     11,                0.38812,                0.33663,                0.80772,                0.77234,                0.65932,                 0.7329,                0.64387,                0.37164,                0.34184,                0.79762,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     12,                0.38164,                0.32819,                0.80363,                0.83289,                0.72038,                0.75183,                 0.6404,                0.38446,                0.34669,                0.80361,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     13,                0.37728,                0.31883,                0.80055,                0.86821,                0.69383,                0.74394,                 0.6533,                0.37898,                0.33144,                0.80091,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     14,                0.37347,                0.31428,                0.80096,                0.87172,                 0.7211,                0.75221,                 0.6547,                0.37117,                0.32237,                0.80011,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     15,                 0.3635,                0.30382,                0.79842,                0.84345,                0.72299,                0.74754,                0.65488,                0.36418,                0.31876,                0.79603,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     16,                 0.3597,                0.29392,                0.80071,                0.87134,                0.72406,                0.74963,                0.64896,                0.36808,                0.30927,                 0.8093,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     17,                0.35224,                0.28812,                0.79453,                0.85199,                0.72954,                 0.7704,                 0.6721,                0.35822,                0.31969,                0.80778,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     18,                0.34903,                 0.2829,                0.79291,                0.88524,                0.72467,                0.78271,                 0.6843,                 0.3593,                0.30438,                0.79498,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     19,                0.34294,                0.27799,                0.79213,                 0.8886,                0.72821,                0.79334,                0.69001,                0.35227,                 0.3089,                0.80008,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     20,                 0.3408,                0.26961,                0.79336,                0.87436,                 0.7232,                0.79592,                0.70007,                0.34613,                0.30152,                0.79652,             7.0805e-06,             7.0805e-06,             7.0805e-06
