                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.55657,                0.70591,                0.88098,                0.87668,                 0.9041,                0.94269,                0.83651,                0.42317,                0.40378,                0.81977,             3.9602e-05,             3.9602e-05,             3.9602e-05
                      2,                0.48809,                0.43588,                0.84345,                0.90042,                0.89558,                0.94929,                0.84209,                0.42689,                0.38891,                0.81517,             7.8484e-05,             7.8484e-05,             7.8484e-05
                      3,                0.47923,                0.43037,                0.84351,                0.91492,                0.89023,                0.95222,                0.83904,                0.41584,                0.37838,                0.80975,             0.00011658,             0.00011658,             0.00011658
                      4,                0.46447,                0.40987,                0.83422,                0.89633,                0.89122,                0.94628,                0.83996,                0.41197,                 0.3791,                0.80615,             0.00011547,             0.00011547,             0.00011547
                      5,                0.45777,                0.39443,                0.83511,                0.89876,                0.90629,                0.95759,                0.85318,                0.40034,                0.36338,                0.80803,             0.00011429,             0.00011429,             0.00011429
                      6,                0.44796,                 0.3863,                0.82843,                0.90617,                 0.8791,                0.94787,                0.85061,                0.38621,                0.36829,                0.80226,             0.00011311,             0.00011311,             0.00011311
                      7,                0.43785,                0.38242,                0.82883,                0.90295,                0.90228,                0.95045,                0.85819,                0.38678,                0.36511,                0.80348,             0.00011193,             0.00011193,             0.00011193
                      8,                0.43625,                0.37783,                0.82742,                0.91913,                0.90094,                0.95829,                0.85313,                0.39989,                0.35633,                0.80588,             0.00011075,             0.00011075,             0.00011075
                      9,                0.42687,                0.36407,                0.82476,                0.88584,                0.91834,                0.95325,                0.85415,                0.38925,                0.35724,                0.80608,             0.00010958,             0.00010958,             0.00010958
                     10,                0.42137,                0.35859,                0.81978,                0.91569,                 0.8929,                0.95598,                0.86353,                0.38044,                0.35558,                0.80537,              0.0001084,              0.0001084,              0.0001084
                     11,                0.41412,                0.34566,                0.81928,                 0.8976,                0.90354,                0.95285,                0.85454,                0.39072,                0.34939,                0.80398,             0.00010722,             0.00010722,             0.00010722
                     12,                0.40713,                0.34259,                0.81852,                0.90783,                0.91834,                0.95801,                0.86136,                0.38627,                0.33396,                0.80803,             0.00010604,             0.00010604,             0.00010604
                     13,                0.40841,                0.33879,                0.81949,                0.92954,                0.88755,                0.95604,                0.86047,                0.40159,                0.33508,                0.81279,             0.00010486,             0.00010486,             0.00010486
                     14,                0.40932,                0.34093,                0.81575,                0.92433,                0.89932,                0.95999,                0.86329,                0.38347,                0.32808,                0.80851,             0.00010368,             0.00010368,             0.00010368
